Order_ID,Warehouse,Customer_Location,Delivery_Distance_km,Transportation_Mode,Package_Weight_kg,Delivery_Priority,Weather_Condition,Traffic_Level,Warehouse_Processing_Time_min,Planned_Delivery_Time_hr,Actual_Delivery_Time_hr,Delivery_Delay
ORD10001,WH-East,Suburban,16.4,Van,22.4,Standard,Rain,Medium,8.0,0.98,0.94,0
ORD10002,WH-West,City Center,61.0,Express,21.8,Standard,Clear,High,51.3,2.6,4.82,1
ORD10003,WH-North,City Center,39.0,Express,4.5,Standard,Rain,High,44.1,1.78,4.21,1
ORD10004,WH-East,City Center,19.6,Van,25.2,High,Clear,Medium,14.1,1.42,1.37,0
ORD10005,WH-East,West Zone,50.1,Bike,5.1,High,Clear,Medium,27.7,2.36,2.4,0
ORD10006,WH-West,East Zone,5.1,Van,9.4,High,Clear,Low,53.8,0.57,2.03,1
ORD10007,WH-North,West Zone,27.4,Van,7.8,Standard,Clear,Medium,52.4,1.61,1.59,0
ORD10008,WH-North,East Zone,38.5,Bike,11.5,High,Cloudy,Medium,46.3,1.9,3.26,1
ORD10009,WH-East,West Zone,13.5,Van,8.0,Standard,Clear,Medium,32.9,1.01,1.8,1
ORD10010,WH-South,West Zone,78.8,Bike,14.9,Urgent,Clear,Medium,39.0,3.27,5.34,1
ORD10011,WH-East,Suburban,18.3,Bike,12.5,High,Rain,Low,33.4,1.06,2.03,1
ORD10012,WH-East,South Zone,12.2,Truck,29.6,Standard,Clear,Low,48.5,0.98,0.94,0
ORD10013,WH-East,West Zone,17.9,Van,2.1,High,Rain,Medium,24.5,1.07,2.53,1
ORD10014,WH-East,Suburban,62.0,Van,4.7,Standard,Clear,Low,25.3,2.93,4.33,1
ORD10015,WH-West,North Zone,35.2,Bike,2.1,High,Cloudy,Low,47.1,1.6,3.04,1
ORD10016,WH-North,South Zone,46.1,Express,19.0,Standard,Clear,High,34.5,2.33,3.58,1
ORD10017,WH-West,West Zone,3.6,Bike,2.1,Standard,Clear,Medium,51.5,0.62,0.61,0
ORD10018,WH-West,City Center,4.7,Van,25.2,High,Clear,Medium,26.9,0.7,0.67,0
ORD10019,WH-West,North Zone,36.8,Bike,15.6,Standard,Clear,High,34.3,1.91,4.27,1
ORD10020,WH-East,North Zone,65.7,Truck,16.0,High,Clear,High,23.9,2.77,5.07,1
ORD10021,WH-South,Suburban,71.0,Bike,17.1,Standard,Cloudy,Medium,35.1,3.14,5.02,1
ORD10022,WH-North,North Zone,8.8,Van,5.5,High,Rain,High,17.3,0.5,2.22,1
ORD10023,WH-South,South Zone,44.0,Bike,6.3,High,Rain,Medium,29.1,1.99,3.97,1
ORD10024,WH-West,West Zone,73.2,Truck,9.9,Standard,Cloudy,Medium,17.8,3.0,5.29,1
ORD10025,WH-West,West Zone,32.3,Express,18.0,Standard,Clear,Medium,43.3,1.5,1.48,0
ORD10026,WH-South,City Center,66.7,Van,6.7,Standard,Clear,Medium,43.6,2.86,4.49,1
ORD10027,WH-South,Suburban,12.4,Bike,3.9,Standard,Clear,Medium,14.2,0.99,0.95,0
ORD10028,WH-South,City Center,75.0,Express,29.1,Standard,Clear,Medium,51.0,3.26,5.26,1
ORD10029,WH-West,North Zone,60.6,Van,1.1,High,Cloudy,Low,65.0,2.69,4.71,1
ORD10030,WH-West,City Center,75.4,Express,24.2,Urgent,Cloudy,Medium,38.6,3.11,4.57,1
ORD10031,WH-North,South Zone,54.8,Bike,23.7,High,Clear,Low,27.3,2.5,3.97,1
ORD10032,WH-North,West Zone,30.3,Van,9.3,High,Clear,Medium,68.9,1.6,2.96,1
ORD10033,WH-West,North Zone,75.2,Van,4.5,High,Rain,Medium,19.2,3.3,5.26,1
ORD10034,WH-South,City Center,23.5,Bike,4.8,High,Rain,Medium,35.2,1.43,2.69,1
ORD10035,WH-South,Suburban,27.9,Van,21.1,Standard,Clear,High,37.2,1.5,2.96,1
ORD10036,WH-North,South Zone,56.7,Truck,19.5,Urgent,Rain,High,54.1,2.42,4.44,1
ORD10037,WH-West,South Zone,61.7,Van,23.6,High,Storm,Medium,39.3,2.63,5.27,1
ORD10038,WH-North,City Center,74.5,Bike,28.2,Standard,Clear,Medium,29.0,3.09,4.6,1
ORD10039,WH-North,West Zone,18.0,Van,20.9,Standard,Clear,Medium,23.6,1.11,1.18,0
ORD10040,WH-East,City Center,64.2,Express,5.1,Standard,Cloudy,Low,30.9,2.83,3.85,1
ORD10041,WH-East,North Zone,59.6,Express,7.7,Standard,Rain,Low,22.9,2.71,4.1,1
ORD10042,WH-East,City Center,7.0,Express,25.3,High,Rain,Low,35.6,0.74,1.74,1
ORD10043,WH-South,South Zone,32.2,Bike,6.7,Standard,Clear,Medium,28.2,1.65,3.05,1
ORD10044,WH-West,City Center,24.1,Van,2.6,Standard,Clear,Medium,17.1,1.38,2.47,1
ORD10045,WH-West,West Zone,25.8,Bike,21.2,Urgent,Cloudy,High,53.1,1.36,2.89,1
ORD10046,WH-West,Suburban,78.7,Van,12.4,Standard,Cloudy,Low,29.0,3.2,5.19,1
ORD10047,WH-West,East Zone,52.1,Van,27.6,Standard,Clear,Low,19.8,2.15,3.29,1
ORD10048,WH-East,City Center,58.0,Van,19.7,Standard,Rain,High,33.0,2.49,5.02,1
ORD10049,WH-South,West Zone,78.2,Truck,3.2,High,Cloudy,Low,35.8,3.35,5.52,1
ORD10050,WH-South,West Zone,31.4,Bike,28.5,Urgent,Rain,Medium,17.0,1.54,2.75,1
ORD10051,WH-East,Suburban,64.5,Bike,8.1,Standard,Rain,Medium,39.0,2.78,5.56,1
ORD10052,WH-South,South Zone,35.9,Truck,10.4,High,Cloudy,Medium,22.4,1.84,3.33,1
ORD10053,WH-East,West Zone,69.8,Van,12.4,Standard,Clear,Low,55.5,3.06,4.94,1
ORD10054,WH-West,West Zone,16.1,Express,2.0,Urgent,Cloudy,Low,44.3,0.95,0.93,0
ORD10055,WH-East,West Zone,75.9,Truck,15.1,High,Clear,Low,30.2,3.33,5.67,1
