Order_ID,Warehouse,Customer_Location,Delivery_Distance_km,Transportation_Mode,Package_Weight_kg,Delivery_Priority,Weather_Condition,Traffic_Level,Warehouse_Processing_Time_min,Planned_Delivery_Time_hr,Actual_Delivery_Time_hr,Delivery_Delay,Delay_Probability,Risk_Level,Recommended_Action
ORD10030,WH-West,City Center,75.4,Express,24.2,Urgent,Cloudy,Medium,38.6,3.11,4.57,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10028,WH-South,City Center,75.0,Express,29.1,Standard,Clear,Medium,51.0,3.26,5.26,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Review warehouse processing bottleneck"
ORD10994,WH-West,City Center,75.8,Bike,18.7,Standard,Rain,Low,30.3,3.16,4.81,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer"
ORD10021,WH-South,Suburban,71.0,Bike,17.1,Standard,Cloudy,Medium,35.1,3.14,5.02,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10333,WH-West,Suburban,49.6,Truck,13.0,Standard,Clear,High,40.4,2.43,4.77,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing"
ORD10704,WH-West,South Zone,47.8,Bike,19.2,Standard,Rain,High,35.9,2.08,4.63,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing | Add weather-related time buffer"
ORD10700,WH-East,City Center,61.5,Van,10.1,Standard,Clear,Low,33.6,2.75,4.05,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
ORD10698,WH-South,Suburban,69.4,Bike,23.5,Urgent,Rain,Medium,37.5,3.12,5.46,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Add weather-related time buffer"
ORD10697,WH-East,East Zone,68.4,Express,27.3,Standard,Cloudy,High,36.7,2.95,5.27,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources | Use traffic-aware alternate routing"
ORD10696,WH-West,North Zone,76.9,Bike,28.0,Standard,Clear,Medium,29.7,3.04,4.61,1,1.0,High Risk,"Priority intervention: review route, ETA and dispatch resources"
